,customer_id_num,product_cat_num,review_score,predicted_score,binary_review_score,binary_predicted_score
0,154,4,4.0,3.984616799952917,1,1
1,342,38,5.0,4.987079651216603,1,1
2,506,10,4.0,3.9734747929863214,1,1
3,557,39,3.0,2.98469493685001,1,0
4,627,15,4.0,3.9802973014615595,1,1
5,627,15,4.0,3.9802973014615595,1,1
6,627,15,4.0,3.9802973014615595,1,1
7,627,15,4.0,3.9802973014615595,1,1
8,627,15,4.0,3.9802973014615595,1,1
9,627,15,4.0,3.9802973014615595,1,1
10,627,15,4.0,3.9802973014615595,1,1
11,627,15,4.0,3.9802973014615595,1,1
12,627,15,4.0,3.9802973014615595,1,1
13,647,15,3.0,2.9852230313339554,1,0
14,647,15,3.0,2.9852230313339554,1,0
15,647,15,3.0,2.9852230313339554,1,0
16,647,15,3.0,2.9852230313339554,1,0
17,666,0,5.0,4.976813127712292,1,1
18,666,0,5.0,4.976813127712292,1,1
19,666,0,5.0,4.976813127712292,1,1
20,666,0,5.0,4.976813127712292,1,1
21,695,9,2.0,1.9879032420964287,0,0
22,695,9,2.0,1.9879032420964287,0,0
23,695,9,2.0,1.9879032420964287,0,0
24,695,9,2.0,1.9879032420964287,0,0
25,695,9,2.0,1.9879032420964287,0,0
26,695,9,2.0,1.9879032420964287,0,0
27,695,9,2.0,1.9879032420964287,0,0
28,695,9,2.0,1.9879032420964287,0,0
29,695,9,2.0,1.9879032420964287,0,0
30,695,9,2.0,1.9879032420964287,0,0
31,695,9,2.0,1.9879032420964287,0,0
32,695,9,2.0,1.9879032420964287,0,0
33,695,9,2.0,1.9879032420964287,0,0
34,695,9,2.0,1.9879032420964287,0,0
35,695,9,2.0,1.9879032420964287,0,0
36,695,9,2.0,1.9879032420964287,0,0
37,695,9,2.0,1.9879032420964287,0,0
38,695,9,2.0,1.9879032420964287,0,0
39,695,9,2.0,1.9879032420964287,0,0
40,695,9,2.0,1.9879032420964287,0,0
41,695,9,2.0,1.9879032420964287,0,0
42,695,9,2.0,1.9879032420964287,0,0
43,695,9,2.0,1.9879032420964287,0,0
44,695,9,2.0,1.9879032420964287,0,0
45,695,9,2.0,1.9879032420964287,0,0
46,731,1,1.0,0.9909162631452176,0,0
47,785,1,1.0,0.9909162631452176,0,0
48,785,1,1.0,0.9909162631452176,0,0
49,785,1,1.0,0.9909162631452176,0,0
50,785,1,1.0,0.9909162631452176,0,0
51,898,0,1.0,0.9953625993222197,0,0
52,898,0,1.0,0.9953625993222197,0,0
53,898,0,1.0,0.9953625993222197,0,0
54,898,0,1.0,0.9953625993222197,0,0
55,913,9,1.0,0.9939516210482143,0,0
56,913,9,1.0,0.9939516210482143,0,0
57,913,9,1.0,0.9939516210482143,0,0
58,913,9,1.0,0.9939516210482143,0,0
59,936,54,1.0,0.9830157934359631,0,0
60,937,15,4.0,3.9802973014615595,1,1
61,965,1,5.0,4.954581371870312,1,1
62,968,2,2.0,1.9908313042185335,0,0
63,978,10,1.0,0.9933686982465804,0,0
64,9,6,4.0,3.9646034762762934,1,1
65,9,6,4.0,3.9646034762762934,1,1
66,9,6,4.0,3.9646034762762934,1,1
67,9,6,4.0,3.9646034762762934,1,1
68,74,1,4.0,3.9636650525808705,1,1
69,174,15,5.0,5.000798352037236,1,1
70,174,15,5.0,5.000798352037236,1,1
71,174,15,5.0,5.000798352037236,1,1
72,174,15,5.0,5.000798352037236,1,1
73,174,15,5.0,5.000798352037236,1,1
74,174,15,5.0,5.000798352037236,1,1
75,174,15,5.0,5.000798352037236,1,1
76,174,15,5.0,5.000798352037236,1,1
77,174,15,5.0,5.000798352037236,1,1
78,174,15,5.0,5.000798352037236,1,1
79,174,15,5.0,5.000798352037236,1,1
80,174,15,5.0,5.000798352037236,1,1
81,174,15,5.0,5.000798352037236,1,1
82,174,15,5.0,5.000798352037236,1,1
83,174,15,5.0,5.000798352037236,1,1
84,174,15,5.0,5.000798352037236,1,1
85,175,0,5.0,4.976813127712292,1,1
86,175,14,5.0,0.26414706466898585,1,0
87,219,18,5.0,4.976054820265118,1,1
88,219,18,5.0,4.976054820265118,1,1
89,219,18,5.0,4.976054820265118,1,1
90,219,18,5.0,4.976054820265118,1,1
91,311,2,4.0,3.981662608437067,1,1
92,343,14,5.0,4.9692495437173765,1,1
93,359,8,5.0,4.979863800800691,1,1
94,396,1,4.0,3.9636650525808705,1,1
95,477,30,5.0,4.966768822433096,1,1
96,477,30,5.0,4.966768822433096,1,1
97,477,30,5.0,4.966768822433096,1,1
98,477,30,5.0,4.966768822433096,1,1
99,479,18,1.0,0.9952109583325248,0,0
100,522,1,5.0,4.9356282705474275,1,1
101,549,14,2.0,1.9876998095599558,0,0
102,569,6,1.0,0.9911508690690733,0,0
103,569,6,1.0,0.9911508690690733,0,0
104,569,6,1.0,0.9911508690690733,0,0
105,569,6,1.0,0.9911508690690733,0,0
106,600,1,5.0,4.954581371870312,1,1
107,632,23,5.0,4.9795965744097686,1,1
108,660,5,2.0,1.982721646316723,0,0
109,676,13,1.0,0.9916892524955628,0,0
110,733,6,1.0,0.9911508690690733,0,0
111,733,6,1.0,0.9911508690690733,0,0
112,733,6,1.0,0.9911508690690733,0,0
113,733,6,1.0,0.9911508690690733,0,0
114,733,6,1.0,0.9911508690690733,0,0
115,733,6,1.0,0.9911508690690733,0,0
116,733,6,1.0,0.9911508690690733,0,0
117,733,6,1.0,0.9911508690690733,0,0
118,733,6,1.0,0.9911508690690733,0,0
119,733,6,1.0,0.9911508690690733,0,0
120,733,6,1.0,0.9911508690690733,0,0
121,733,6,1.0,0.9911508690690733,0,0
122,733,6,1.0,0.9911508690690733,0,0
123,733,6,1.0,0.9911508690690733,0,0
124,733,6,1.0,0.9911508690690733,0,0
125,733,6,1.0,0.9911508690690733,0,0
126,748,15,5.0,4.975371673192794,1,1
